age,title,date,img,link,star,man,book
청소년 관람불가,로망스 돌,20220401,https://movie-phinf.pstatic.net/20220325_44/1648190276891ENCp9_JPEG/movie_image.jpg?type=m99_141_2,https://movie.naver.com/movie/bi/mi/basic.naver?code=194968,7.33,24,https://movie.naver.com/movie/bi/mi/running.naver?code=194968
12세 관람가,역할들,20220331,https://movie-phinf.pstatic.net/20220317_298/1647503175209f0j8i_JPEG/movie_image.jpg?type=m99_141_2,https://movie.naver.com/movie/bi/mi/basic.naver?code=213576,9.94,31,https://movie.naver.com/movie/bi/mi/running.naver?code=213576
15세 관람가,사랑 후의 두 여자,20220330,https://movie-phinf.pstatic.net/20220401_169/1648777808023G6Oqf_JPEG/movie_image.jpg?type=m99_141_2,https://movie.naver.com/movie/bi/mi/basic.naver?code=196488,7.79,43,https://movie.naver.com/movie/bi/mi/running.naver?code=196488
12세 관람가,벨파스트,20220323,https://movie-phinf.pstatic.net/20220221_88/1645409319388lY88g_JPEG/movie_image.jpg?type=m99_141_2,https://movie.naver.com/movie/bi/mi/basic.naver?code=207941,8.26,169,https://movie.naver.com/movie/bi/mi/running.naver?code=207941
전체 관람가,고양이들의 아파트,20220317,https://movie-phinf.pstatic.net/20220304_286/1646377983518TpNS1_JPEG/movie_image.jpg?type=m99_141_2,https://movie.naver.com/movie/bi/mi/basic.naver?code=197068,7.87,77,https://movie.naver.com/movie/bi/mi/running.naver?code=197068
12세 관람가,스펜서,20220316,https://movie-phinf.pstatic.net/20220317_93/1647485368141aGptp_JPEG/movie_image.jpg?type=m99_141_2,https://movie.naver.com/movie/bi/mi/basic.naver?code=207921,7.73,885,https://movie.naver.com/movie/bi/mi/running.naver?code=207921
전체 관람가,보드랍게,20220223,https://movie-phinf.pstatic.net/20220209_283/1644394333562x55oR_JPEG/movie_image.jpg?type=m99_141_2,https://movie.naver.com/movie/bi/mi/basic.naver?code=194668,9.5,16,https://movie.naver.com/movie/bi/mi/running.naver?code=194668
15세 관람가,극장판 주술회전 0,20220217,https://movie-phinf.pstatic.net/20220217_242/1645084631470w6PTw_JPEG/movie_image.jpg?type=m99_141_2,https://movie.naver.com/movie/bi/mi/basic.naver?code=213733,9.24,1499,https://movie.naver.com/movie/bi/mi/running.naver?code=213733
전체 관람가,씽2게더,20220105,https://movie-phinf.pstatic.net/20211231_136/1640927037740RqKuo_JPEG/movie_image.jpg?type=m99_141_2,https://movie.naver.com/movie/bi/mi/basic.naver?code=187320,9.39,2663,https://movie.naver.com/movie/bi/mi/running.naver?code=187320
15세 관람가,드라이브 마이 카,20211223,https://movie-phinf.pstatic.net/20211220_81/1639963885244tPBWI_JPEG/movie_image.jpg?type=m99_141_2,https://movie.naver.com/movie/bi/mi/basic.naver?code=205623,8.41,898,https://movie.naver.com/movie/bi/mi/running.naver?code=205623
12세 관람가,디어 에반 핸슨,20211117,https://movie-phinf.pstatic.net/20211013_44/1634090696216vDR6R_JPEG/movie_image.jpg?type=m99_141_2,https://movie.naver.com/movie/bi/mi/basic.naver?code=207940,7.46,1050,https://movie.naver.com/movie/bi/mi/running.naver?code=207940
12세 관람가,퍼스트 카우,20211104,https://movie-phinf.pstatic.net/20211012_205/1634026497745yCh3c_JPEG/movie_image.jpg?type=m99_141_2,https://movie.naver.com/movie/bi/mi/basic.naver?code=190763,8.32,238,https://movie.naver.com/movie/bi/mi/running.naver?code=190763
15세 관람가,당신얼굴 앞에서,20211021,https://movie-phinf.pstatic.net/20210908_98/1631077678630Mtkxn_JPEG/movie_image.jpg?type=m99_141_2,https://movie.naver.com/movie/bi/mi/basic.naver?code=206608,7.67,114,https://movie.naver.com/movie/bi/mi/running.naver?code=206608
12세 관람가,미켈란젤로,20210929,https://movie-phinf.pstatic.net/20210909_57/1631165983167dxDxX_JPEG/movie_image.jpg?type=m99_141_2,https://movie.naver.com/movie/bi/mi/basic.naver?code=209083,8.46,13,https://movie.naver.com/movie/bi/mi/running.naver?code=209083
12세 관람가,기적,20210915,https://movie-phinf.pstatic.net/20210917_60/16318534287592XLg8_JPEG/movie_image.jpg?type=m99_141_2,https://movie.naver.com/movie/bi/mi/basic.naver?code=199860,9.25,6136,https://movie.naver.com/movie/bi/mi/running.naver?code=199860
15세 관람가,날씨의 아이,20210909,https://movie-phinf.pstatic.net/20210824_271/1629767608033QS1Ls_JPEG/movie_image.jpg?type=m99_141_2,https://movie.naver.com/movie/bi/mi/basic.naver?code=181114,7.96,6278,https://movie.naver.com/movie/bi/mi/running.naver?code=181114
12세 관람가,코다,20210831,https://movie-phinf.pstatic.net/20220408_230/1649404582189RuAGA_JPEG/movie_image.jpg?type=m99_141_2,https://movie.naver.com/movie/bi/mi/basic.naver?code=201073,9.14,943,https://movie.naver.com/movie/bi/mi/running.naver?code=201073
15세 관람가,모가디슈,20210728,https://movie-phinf.pstatic.net/20210820_122/1629448997924YXUCv_JPEG/movie_image.jpg?type=m99_141_2,https://movie.naver.com/movie/bi/mi/basic.naver?code=192150,8.33,16877,https://movie.naver.com/movie/bi/mi/running.naver?code=192150
청소년 관람불가,#위왓치유,20210603,https://movie-phinf.pstatic.net/20210520_89/1621492263055WWAzV_JPEG/movie_image.jpg?type=m99_141_2,https://movie.naver.com/movie/bi/mi/basic.naver?code=192865,8.85,47,https://movie.naver.com/movie/bi/mi/running.naver?code=192865
12세 관람가,미나리,20210303,https://movie-phinf.pstatic.net/20210429_50/1619658051996HIPXs_JPEG/movie_image.jpg?type=m99_141_2,https://movie.naver.com/movie/bi/mi/basic.naver?code=187310,7.57,5489,https://movie.naver.com/movie/bi/mi/running.naver?code=187310
15세 관람가,세자매,20210127,https://movie-phinf.pstatic.net/20210114_78/1610588407942CoL2I_JPEG/movie_image.jpg?type=m99_141_2,https://movie.naver.com/movie/bi/mi/basic.naver?code=193328,8.67,1890,https://movie.naver.com/movie/bi/mi/running.naver?code=193328
12세 관람가,라라랜드,20201231,https://movie-phinf.pstatic.net/20201229_146/1609226288425JgdsP_JPEG/movie_image.jpg?type=m99_141_2,https://movie.naver.com/movie/bi/mi/basic.naver?code=134963,8.62,24857,https://movie.naver.com/movie/bi/mi/running.naver?code=134963
15세 관람가,화양연화,20201224,https://movie-phinf.pstatic.net/20201028_19/1603867994616GALu9_JPEG/movie_image.jpg?type=m99_141_2,https://movie.naver.com/movie/bi/mi/basic.naver?code=28876,8.81,2162,https://movie.naver.com/movie/bi/mi/running.naver?code=28876
전체 관람가,뮤지컬 브로드웨이 42번가,20200708,https://movie-phinf.pstatic.net/20200207_176/15810629125632wKOD_JPEG/movie_image.jpg?type=m99_141_2,https://movie.naver.com/movie/bi/mi/basic.naver?code=189079,8.2,5,https://movie.naver.com/movie/bi/mi/running.naver?code=189079
12세 관람가,레미제라블: 뮤지컬 콘서트,20200513,https://movie-phinf.pstatic.net/20200504_226/1588572666629jE4I1_JPEG/movie_image.jpg?type=m99_141_2,https://movie.naver.com/movie/bi/mi/basic.naver?code=191469,9.41,91,https://movie.naver.com/movie/bi/mi/running.naver?code=191469
12세 관람가,언어의 정원,20200422,https://movie-phinf.pstatic.net/20210506_116/1620269253724yUAgH_JPEG/movie_image.jpg?type=m99_141_2,https://movie.naver.com/movie/bi/mi/basic.naver?code=106335,8.17,2517,https://movie.naver.com/movie/bi/mi/running.naver?code=106335
청소년 관람불가,경계선,20191024,https://movie-phinf.pstatic.net/20191018_257/1571374588609LO8ck_JPEG/movie_image.jpg?type=m99_141_2,https://movie.naver.com/movie/bi/mi/basic.naver?code=175045,8.2,354,https://movie.naver.com/movie/bi/mi/running.naver?code=175045
12세 관람가,녹색 광선,20190704,https://movie-phinf.pstatic.net/20220420_48/1650422631213w8Sy0_JPEG/movie_image.jpg?type=m99_141_2,https://movie.naver.com/movie/bi/mi/basic.naver?code=16411,8.49,152,https://movie.naver.com/movie/bi/mi/running.naver?code=16411
전체 관람가,벤허,20190328,https://movie-phinf.pstatic.net/20190319_197/1552961388729ud2LG_JPEG/movie_image.jpg?type=m99_141_2,https://movie.naver.com/movie/bi/mi/basic.naver?code=10058,9.24,1266,https://movie.naver.com/movie/bi/mi/running.naver?code=10058
12세 관람가,아사코,20190314,https://movie-phinf.pstatic.net/20190220_147/1550628802592YRPtN_JPEG/movie_image.jpg?type=m99_141_2,https://movie.naver.com/movie/bi/mi/basic.naver?code=172145,7.29,632,https://movie.naver.com/movie/bi/mi/running.naver?code=172145
청소년 관람불가,라이브 플래쉬,20181105,https://movie-phinf.pstatic.net/20181031_113/1540970564133zDmXy_JPEG/movie_image.jpg?type=m99_141_2,https://movie.naver.com/movie/bi/mi/basic.naver?code=26931,8.38,47,https://movie.naver.com/movie/bi/mi/running.naver?code=26931
청소년 관람불가,브로큰 임브레이스,20181105,https://movie-phinf.pstatic.net/20181031_270/1540965417921s0IkS_JPEG/movie_image.jpg?type=m99_141_2,https://movie.naver.com/movie/bi/mi/basic.naver?code=52792,7.5,155,https://movie.naver.com/movie/bi/mi/running.naver?code=52792
15세 관람가,귀향,20181105,https://movie-phinf.pstatic.net/20181031_71/1540973955560qPueX_JPEG/movie_image.jpg?type=m99_141_2,https://movie.naver.com/movie/bi/mi/basic.naver?code=49302,8.66,421,https://movie.naver.com/movie/bi/mi/running.naver?code=49302
청소년 관람불가,나쁜 교육,20181105,https://movie-phinf.pstatic.net/20181031_143/15409649954395JT9Q_JPEG/movie_image.jpg?type=m99_141_2,https://movie.naver.com/movie/bi/mi/basic.naver?code=39368,8.45,451,https://movie.naver.com/movie/bi/mi/running.naver?code=39368
15세 관람가,비밀의 꽃,20181105,https://movie-phinf.pstatic.net/20181031_268/1540973287249dcird_JPEG/movie_image.jpg?type=m99_141_2,https://movie.naver.com/movie/bi/mi/basic.naver?code=24308,6.0,3,https://movie.naver.com/movie/bi/mi/running.naver?code=24308
15세 관람가,하이 힐,20181105,https://movie-phinf.pstatic.net/20181031_36/15409737316058oTTk_JPEG/movie_image.jpg?type=m99_141_2,https://movie.naver.com/movie/bi/mi/basic.naver?code=13317,8.4,30,https://movie.naver.com/movie/bi/mi/running.naver?code=13317
15세 관람가,신경쇠약 직전의 여자,20181105,https://movie-phinf.pstatic.net/20181031_253/1540953256580Stomt_JPEG/movie_image.jpg?type=m99_141_2,https://movie.naver.com/movie/bi/mi/basic.naver?code=12568,8.13,15,https://movie.naver.com/movie/bi/mi/running.naver?code=12568
15세 관람가,더 스퀘어,20180802,https://movie-phinf.pstatic.net/20180716_72/1531702514819NOwsK_JPEG/movie_image.jpg?type=m99_141_2,https://movie.naver.com/movie/bi/mi/basic.naver?code=154223,7.69,264,https://movie.naver.com/movie/bi/mi/running.naver?code=154223
12세 관람가,피의 연대기,20180118,https://movie-phinf.pstatic.net/20180116_12/1516070687936QLFz9_JPEG/movie_image.jpg?type=m99_141_2,https://movie.naver.com/movie/bi/mi/basic.naver?code=164104,9.12,331,https://movie.naver.com/movie/bi/mi/running.naver?code=164104
15세 관람가,아비정전,20170330,https://movie-phinf.pstatic.net/20170315_53/148955223217831bi6_JPEG/movie_image.jpg?type=m99_141_2,https://movie.naver.com/movie/bi/mi/basic.naver?code=10546,8.46,874,https://movie.naver.com/movie/bi/mi/running.naver?code=10546
전체 관람가,걸어도 걸어도,20160804,https://movie-phinf.pstatic.net/20160715_110/1468569286091i6KPe_JPEG/movie_image.jpg?type=m99_141_2,https://movie.naver.com/movie/bi/mi/basic.naver?code=50749,8.63,728,https://movie.naver.com/movie/bi/mi/running.naver?code=50749
12세 관람가,바닷마을 다이어리,20151217,https://movie-phinf.pstatic.net/20151109_152/1447031077714vyf9Q_JPEG/movie_image.jpg?type=m99_141_2,https://movie.naver.com/movie/bi/mi/basic.naver?code=132610,8.75,2374,https://movie.naver.com/movie/bi/mi/running.naver?code=132610
12세 관람가,빅 아이즈,20150128,https://movie-phinf.pstatic.net/20150115_116/1421313798310vlD6j_JPEG/movie_image.jpg?type=m99_141_2,https://movie.naver.com/movie/bi/mi/basic.naver?code=81464,8.29,872,https://movie.naver.com/movie/bi/mi/running.naver?code=81464
전체 관람가,동경 이야기,20140816,https://movie-phinf.pstatic.net/20140807_285/1407396855353S63rj_JPEG/movie_image.jpg?type=m99_141_2,https://movie.naver.com/movie/bi/mi/basic.naver?code=13793,8.81,222,https://movie.naver.com/movie/bi/mi/running.naver?code=13793
15세 관람가,문라이즈 킹덤,20130131,https://movie-phinf.pstatic.net/20121226_24/1356507294873N5TDv_JPEG/movie_image.jpg?type=m99_141_2,https://movie.naver.com/movie/bi/mi/basic.naver?code=90537,8.15,673,https://movie.naver.com/movie/bi/mi/running.naver?code=90537
청소년 관람불가,심도,20110317,https://movie-phinf.pstatic.net/20111223_228/13246339346064ItNC_JPEG/movie_image.jpg?type=m99_141_2,https://movie.naver.com/movie/bi/mi/basic.naver?code=74516,3.0,2,https://movie.naver.com/movie/bi/mi/running.naver?code=74516
12세 관람가,더 차일드,20060127,https://movie-phinf.pstatic.net/20111222_223/1324530607374uQrLv_JPEG/movie_image.jpg?type=m99_141_2,https://movie.naver.com/movie/bi/mi/basic.naver?code=41554,8.25,144,https://movie.naver.com/movie/bi/mi/running.naver?code=41554
,오차즈케의 맛,20040528,https://movie-phinf.pstatic.net/20201127_146/1606441017408rhJxS_JPEG/movie_image.jpg?type=m99_141_2,https://movie.naver.com/movie/bi/mi/basic.naver?code=37449,7.68,28,https://movie.naver.com/movie/bi/mi/running.naver?code=37449
,만춘,20040528,https://movie-phinf.pstatic.net/20111223_122/1324637849375kwUd5_JPEG/movie_image.jpg?type=m99_141_2,https://movie.naver.com/movie/bi/mi/basic.naver?code=26526,8.3,56,https://movie.naver.com/movie/bi/mi/running.naver?code=26526
12세 관람가,여름 이야기,19980613,https://movie-phinf.pstatic.net/20220420_38/1650422766596Xyhxu_JPEG/movie_image.jpg?type=m99_141_2,https://movie.naver.com/movie/bi/mi/basic.naver?code=19379,8.07,45,https://movie.naver.com/movie/bi/mi/running.naver?code=19379
12세 관람가,자이언트,19740228,https://movie-phinf.pstatic.net/20180228_118/1519784133131EcfGn_JPEG/movie_image.jpg?type=m99_141_2,https://movie.naver.com/movie/bi/mi/basic.naver?code=10053,8.52,33,https://movie.naver.com/movie/bi/mi/running.naver?code=10053
12세 관람가,OK 목장의 결투,19580101,https://movie-phinf.pstatic.net/20111212_121/1323670809101zEzkt_JPEG/movie_image.jpg?type=m99_141_2,https://movie.naver.com/movie/bi/mi/basic.naver?code=10070,8.68,44,https://movie.naver.com/movie/bi/mi/running.naver?code=10070
15세 관람가,가스등 ,19480421,https://movie-phinf.pstatic.net/20111222_14/13244955415238WvIg_JPEG/movie_image.jpg?type=m99_141_2,https://movie.naver.com/movie/bi/mi/basic.naver?code=11995,8.56,61,https://movie.naver.com/movie/bi/mi/running.naver?code=11995
